Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;Category;Type (Finnish);Preroman IA;Early Roman IA;Late Roman IA;Migration period;Merovingian period;Viking period;Crusade period;1100-1300;1400-1500;Settlement site;Cremation cemetery;Inhumation cemetery;Stray find;Cairn;Hoard;Other context;Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);PhotoID;X;Y
IA;1000000104;Laitila;Pärkö;KM;21965;1;6761062;3210984;15;Bronze artefacts;Hevosenkenkäsolki;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;45;;;;;;Varras nelikulmaine, kolmioleimaa, päät katkenneet tai sitten suipot;KM 21965_1;21,67578657;60,85360876
IA;1000000130;Laitila;Kuivala/Hällynen;KM;24282;2;6768200;3212490;17,5;Bronze artefacts;"Kaularengas; Kierretty";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;FALSE;;;;;;;Varras, jonka ympärille kierretty pronssilankaa, kaulakorusta om;KM 24282_2;21,69276122;60,91848679
IA;1000000130;Laitila;Kuivala/Hällynen;KM;24282;1;6768200;3212490;17,5;Bronze artefacts;"Rannerengas; Massiivinen päihin levenevä rannerengas";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;FALSE;;;;;;;Puolikas, osittain palanut;KM 24282_1;21,69276122;60,91848679
IA;1000000130;Laitila;Kuivala/Hällynen;KM;23085;10;6768200;3212490;17,5;Bronze artefacts;"Rannerengas; Massiivinen päihin levenevä rannerengas";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;;;;siksak-viivaa;KM 23085_10;21,69276122;60,91848679
IA;1000000130;Laitila;Kuivala/Hällynen;KM;19601;1;6768200;3212490;17,5;Bronze artefacts;"Solki; Pyöreä kupurasolki";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;;63;;Puolikas, takapinnalla sulamisen jälkiä;KM 19601_1;21,69276122;60,91848679
IA;1000000130;Laitila;Kuivala/Hällynen;KM;15044;;6768200;3212490;17,5;Bronze artefacts;"Solki; vyönsolki";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;77;26;14;;;;Vyönsolki, jossa kiinni gotlantilainen eläinpäähela. Tunnistus perustuu luettelon piirustukseen, laatikko tyhjä.;KM 15044;21,69276122;60,91848679
IA;1000000167;Laitila;Sonkkila Myllymäki;HM;1193;3;6763500;3209080;25;Bronze artefacts;Kaularengas;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;1;FALSE;;;;172;5;9;Uurteinen vai kierretty, löytäjä katkaissut. Löytänyt talollisen poika Kustaa Sonkkila n 1920 perustaa kaivaessaan puolen metrin syvyydestä kivisestä mäestä. Toimitettu 1923 (A. Winter);HM 1193_3;21,63724989;60,87400341
IA;1000000171;Laitila;Kylämäki;KM;16312;181;6764470;3210650;15;Bronze artefacts;"Solki; Tasavarsisolki";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;35;;;;;;Toinen pää rikki, viivakoristelua, samanlainen osittain rikkinäinen merov.aikainen tasavarsisolki alanrolla 418;KM 16312_181;21,66457572;60,88381826
IA;1000000171;Laitila;Kylämäki;KM;16165;409;6764470;3210650;15;Bronze artefacts;"Miekan kahvaosa; Ponsi";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;40;22;15;;;;Eläinornamentiikalla koristeltu merovingiaikaisen miekan ponsi. Toisella puolella eläimen silmässä punakeltaista täyteainetta, joka osin sulanut. Vastaavaa ornamentiikkaa myös tupen helan paloissa alanrolla :450;KM 16165_409;21,66457572;60,88381826
IA;1000000171;Laitila;Kylämäki;KM;16312;418;6764470;3210650;15;Bronze artefacts;"Solki; Tasavarsisolki";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;;;;;;;Osittain rikki, viivakoristelua;KM 16312_418;21,66457572;60,88381826
IA;1000000171;Laitila;Kylämäki;KM;16312;447;6764470;3210650;15;Bronze artefacts;Solki;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;2;TRUE;43;20;;;;;Soikea, vastakkain kääntyneet tyylitellyt eläimenpäät, näitä yht. neljä. Neulan kiinnistuslenkki jäljellä. Luettelossa arveltu, olisiko käytetty mieluummin helana. Neulan kiinnityskohta rautaa ja tulkittu luettelossa niitiksi. Siinä kuitenkin reikä.;KM 16312_447;21,66457572;60,88381826
IA;1000000171;Laitila;Kylämäki;KM;16312;407;6764470;3210650;15;Bronze artefacts;"Miekan kahvaosa; Kourain";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;20;;;Eläinornamentiikkaa (Salin II), nauheläimiä, kädensijan helan kappale;KM 16312_407;21,66457572;60,88381826
IA;1000000171;Laitila;Kylämäki;KM;16312;334;6764470;3210650;15;Bronze artefacts;"Miekan kahvaosa; Väistin";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;28;20;;Eläinornamentiikalla koristeltu väistimen pääty, jossa niitti. Reunat punoskoristelua;KM 16312_334;21,66457572;60,88381826
IA;1000000171;Laitila;Kylämäki;KM;16312;237;6764470;3210650;15;Bronze artefacts;Solki;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;80;;;;;;Litteä, heikosti harjava, pisteviiva - ja ympyräleimakoristelua. Neula kiinni suoraan rungossa. Luettelon mukaan asehaudasta;KM 16312_237;21,66457572;60,88381826
IA;1000000171;Laitila;Kylämäki;KM;16165;485;6764470;3210650;15;Bronze artefacts;"Miekan kahvaosa; Väistin";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;;;;Ontto, pronssinen väistin. Sisällä väistimen muotoinen palanut savi, jossa niitin reikä. Ponnessa niitin yläosa näkyvissä. Ei siis pilalle menny valU?;KM 16165_485;21,66457572;60,88381826
IA;1000000171;Laitila;Kylämäki;KM;16312;180;6764470;3210650;15;Bronze artefacts;"Solki; Vyönsolki";FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;36;24;;;;;Neula rautaa, pienet kielekkeet vyön suuntaan;KM 16312_180;21,66457572;60,88381826
IA;1000000171;Laitila;Kylämäki;KM;16312;149;6764470;3210650;15;Bronze artefacts;Ketjunkantaja;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;21;20;;Osittain sulanut fragmentti, häränsilmäleima;KM 16312_149;21,66457572;60,88381826
IA;1000000171;Laitila;Kylämäki;KM;16312;143;6764470;3210650;15;Bronze artefacts;"Solki; Rengassolki";FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;2;TRUE;43;46;;;;;Luettelon mukaan hevosenkenkäsolki, jonka nelikulmaiset nupit yhdessä. Soljen runko litteä ja leveä, aavistuksen harjava. Mieluummin rengassolki, vaikka vastaavia myös hk-solkina, esim. alanrolla :237;KM 16312_143;21,66457572;60,88381826
IA;1000000171;Laitila;Kylämäki;KM;16312;135;6764470;3210650;15;Bronze artefacts;"Rannerengas; Koverankupera";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;67;13;;Päistä murtunut, päihin levenevä, ohutta peltiä, yhdessä fragmentissa heikkoa pisteviivakoristelua;KM 16312_135;21,66457572;60,88381826
IA;1000000171;Laitila;Kylämäki;KM;16312;124;6764470;3210650;15;Bronze artefacts;Pronssiesine;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;29;;;Toiselta puolelta eläinornamentiikalla (Salin II) ja toiselta puolelta punoksella koristeltu pitkänomainen pala, todennäköisesti väistimestä, jollaisen kpl alanrolla 334 koristeltu samoin;KM 16312_124;21,66457572;60,88381826
IA;1000000171;Laitila;Kylämäki;KM;16312;63;6764470;3210650;15;Bronze artefacts;"Solki; Tasavarsisolki";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;35;;;;;;;KM 16312_63;21,66457572;60,88381826
IA;1000000171;Laitila;Kylämäki;KM;16312;51;6764470;3210650;15;Bronze artefacts;"Sormus; Spiraalisormus";FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;;;;Puolikas. Kohoharjallinen varras, keskikilpi, jossa harjanne;KM 16312_51;21,66457572;60,88381826
IA;1000000171;Laitila;Kylämäki;KM;16165;445;6764470;3210650;15;Bronze artefacts;"Miekan kahvaosa; Väistin";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;;;;Ontto, pronssinen väistin. Sisällä väistimen muotoinen palanut savi, jossa niitin reikä. Ponnessa niitin yläosa näkyvissä. Ei siis pilalle menny valU?;KM 16165_445;21,66457572;60,88381826
IA;1000000171;Laitila;Kylämäki;KM;16312;238;6764470;3210650;15;Bronze artefacts;"Solki; Ratassolki";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;56;;;;;;;KM 16312_238;21,66457572;60,88381826
IA;1000000176;Laitila;Palttilanharju;KM;24281;1;6765013;3210975;15;Bronze artefacts;"Hevosenkenkäsolki; Nuppipäinen";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;57;55;;;;;;KM 24281_1;21,66972296;60,88890714
IA;1000000181;Laitila;Rukoushuone-Kansakoulunmäki;KM;17793;29;6763629;3212587;20;Bronze artefacts;"Solki; Tasavarsisolki";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;1;TRUE;41;15;;;;;Osin sulanut, poikkiviivoja ja häränsilmä;KM 17793_29;21,70134131;60,87771059
IA;1000001177;Kalajoki;Etelänkylän kansakoulu;KM;14258;;7130270;3353860;15;Bronze artefacts;"Solki; Ratassolki";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;34;;;;;;Kalajoen Etelänkylän kansakoulun perustuksia kaivettaessa 1930, myös muita esineitä. Ei nähty, lapun mukaan P.-Pohjanmaan museossa.;KM 14258;23,98307438;64,2405158
IA;1000002182;Sulkava;Keskipelto;KM;15097;1;6856820;3576300;80;Bronze artefacts;"Solki; Soikea kupurasolki; Ailio A";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;72;45;21;;;;;KM 15097_1;28,44403803;61,81077344
IA;1000002232;Mikkeli;Kenkäveronniemi;KM;20316;1;6841530;3515121;79;Bronze artefacts;"Solki; Soikea kupurasolki; Ailio H";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;87;48;17;;;;Veden rapauttama.;KM 20316_1;27,28237927;61,68086642
IA;1000002232;Mikkeli;Kenkäveronniemi;KM;20480;1;6841530;3515121;79;Bronze artefacts;"Solki; Soikea kupurasolki; Ailio F";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;88;48;;;;;Pappilan Kenkäveronniemen pellosta. Hyvin erilainen (parempi) kunto kuin Pappilanrannan vesilöytö..;KM 20480_1;27,28237927;61,68086642
IA;1000002302;Mikkeli;Tyynelä;KM;14146;1;6842420;3508680;105;Bronze artefacts;"Solki; Tasavarsisolki";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;76;25;22;;;;Kivikosken ryhmä 7 (FM 1938 s. 20-24). Ei nähty, lapun mukaan Savonlinnassa. Kuva luettelossa. Tappikoristeine.;KM 14146_1;27,16076812;61,68904919
IA;1000002302;Mikkeli;Tyynelä;KM;14146;3;6842420;3508680;105;Bronze artefacts;"Ketjunkantaja; Kaksoisspiraali";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;44;43;;;;;Luettelon mukaan palopatinaa. Lapun mukaan Savonlinnan museossa, kuva luettelossa.;KM 14146_3;27,16076812;61,68904919
IA;1000002302;Mikkeli;Tyynelä;KM;17042;1;6842420;3508680;105;Bronze artefacts;"Kulkunen; Rainion ryhmä 3";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;1;TRUE;28;22;;;;;Määritys luettelon kuvauksen ja kuvan mukaan, laatikossa lappus Savonlinnan museo;KM 17042_1;27,16076812;61,68904919
IA;1000002302;Mikkeli;Tyynelä;KM;15888;1;6842420;3508680;105;Bronze artefacts;"Solki; Tasavarsisolki";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;1;FALSE;72;25;18;;;;Deponoitu Savonlinnaan, ei kuvattu, ei piirrosta luettelossa;KM 15888_1;27,16076812;61,68904919
IA;1000002316;Mikkeli;Kyyhkylä;KM;21460;1;6836120;3515440;80;Bronze artefacts;"Solki; Soikea kupurasolki";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;70;40;;;;;;KM 21460_1;27,28795272;61,63230829
IA;1000002323;Mikkeli;Lampila;KM;23180;1;6845070;3519380;105;Bronze artefacts;"Solki; Soikea kupurasolki; Ailio D";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;90;55;;;;;;KM 23180_1;27,36319163;61,71244224
IA;1000002323;Mikkeli;Lampila;KM;23180;2;6845070;3519380;105;Bronze artefacts;"Solki; Soikea kupurasolki; Ailio D";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;90;54;;;;;;KM 23180_2;27,36319163;61,71244224
IA;1000002384;Mikkeli;Nikara 2;KM;24667;1;6842720;3509660;107;Bronze artefacts;"Solki; Soikea kupurasolki; Ailio J";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;73;44;;;;;"""Köynnössolki"" Ailio J";KM 24667_1;27,17929808;61,69171825
IA;1000003083;Kitee;Kiteen alue 3;KM;18800;1;;;;Bronze artefacts;"Solki; Soikea kupurasolki; Ailio D";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;95;56;19;;;;Ei nähty, kuva luettelossa, lapun mukaan Huurteella;KM 18800_1;#NUM!;#NUM!
IA;1000004106;Raisio;Varppimäki;KM;14294;3;6718200;3233960;20;Bronze artefacts;Hevosenkenkäsolki;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;;;;Kappale kaaresta, segment.;KM 14294_3;22,1550018;60,48637924
IA;1000004106;Raisio;Varppimäki;KM;14294;1;6718200;3233960;20;Bronze artefacts;"Solki; Pyöreä kupurasolki; kaksieläiminen";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;65;;;;;;;KM 14294_1;22,1550018;60,48637924
IA;1000004106;Raisio;Varppimäki;KM;14294;2;6718200;3233960;20;Bronze artefacts;"Solki; Pyöreä kupurasolki; Appelgren C-D välimuoto";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;2;TRUE;55;;;;;;Osin sulanut, kapeareunuksinen.;KM 14294_2;22,1550018;60,48637924
IA;1000005568;Laitila;As. Laurinpelto Oy;KM;21047;1;6764409;3212628;;Bronze artefacts;"Rannerengas; Massiivinen päihin levenevä rannerengas";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;;;;;;;Ristikkokoristelu;KM 21047_1;21,70093423;60,88471043
IA;1000005602;Laitila;Kairittu;KM;16849;1;6759661;3209468;15;Bronze artefacts;"Rannerengas; Päihin kapeneva";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;FALSE;;;;74;17;12;Koristeluna tiheää pisteviivaa sekä poikittaisia uria keskellä ja lähempänä päitä, katkelma;KM 16849_1;21,6501168;60,83998475
IA;1000005602;Laitila;Kairittu;KM;16849;2;6759661;3209468;15;Bronze artefacts;"Rannerengas; Päihin kapeneva";FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;FALSE;76;12;;;;;Kahdessa osassa;KM 16849_2;21,6501168;60,83998475
IA;1000005629;Laitila;Palttilan kartano 1;KM;15889;1;6765318;3210634;12,5;Bronze artefacts;"Hevosenkenkäsolki; Nuppipäinen";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;FALSE;82;82;;;;;Nuppien yläpinta tasainen, nelikulmaiset nupit;KM 15889_1;21,66301333;60,89138393
IA;1000005635;Laitila;Yli-Sunila Kotovainio;KM;16498;1;6768354;3213518;22,5;Bronze artefacts;"Hevosenkenkäsolki; Nuppipäinen";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;75;63;;;;;Alapinnassa lenkki neulaa varten, erikoinen;KM 16498_1;21,7114024;60,92060746
IA;1000006290;Lappajärvi;Myllyniemi;KM;15401;1;7022196;3331156;;Bronze artefacts;"Hevosenkenkäsolki; Rullapäinen";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;58;48;39;;;;;KM 15401_1;23,63319722;63,26234404
IA;1000006914;Tammela;Ruokosuo;HM;49;88;6755914;3331684;117;Bronze artefacts;Hevosenkenkäsolki;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;52;54;;;;;Pyöreät torvimaiset nupit, jotka levenevät ylöspäin. Irtolöytö Tammelan Ruokosuolta Yli-Lekkalan maalta 1905 lahjoitettu.;HM 49_88;23,89727782;60,87706225
IA;1000007345;Kalajoki;Tilus/Kotipalsta;KM;20203;1;7110651;3336112;12,5;Bronze artefacts;"Solki; Pyöreä kupurasolki; Appelgren D";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;66;58;12;;;;;KM 20203_1;23,6391714;64,05683046
IA;1000007755;Sauvo;Tryskä;KM;15794;1;6702430;3257780;7,5;Bronze artefacts;"Solki; Pyöreä kupurasolki; Appelgren D";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;67;62;;;;;;KM 15794_1;22,60606833;60,3602771
IA;1000008831;Paimio;Majankalmanmäki;KM;23603;;6716150;3262084;;Bronze artefacts;"Rannerengas; Massiivinen";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;84;;;;;;Ristikkokoristelua;KM 23603;22,66749311;60,48561422
IA;1000008965;Tornio;Luotomäki;KM;17067;1;7307722;3372005;5;Bronze artefacts;"Solki; Pyöreä kupurasolki; Appelgren D";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;66;68;;;;;Luettelon ja piirroksen mukaan D-tyypin solki, jossa kiinni kaksoisspiraalin muotoinen ketjunjakaja. Lapun mukaan Tornionlaakson museoon 1982;KM 17067_1;24,19432487;65,83754856
IA;1000010318;Kokemäki;Vaimala;KM;21453;1;6801770;3252497;;Bronze artefacts;"Solki; Pyöreä kupurasolki; Appelgren E";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;2;TRUE;59;52;;;;;Mieluummin ehkä E kuin D. Pinta osin sulanut. Ei nähty, luettelon kuvan perusteella. Dep. Turkuun 1982.;KM 21453_1;22,38420627;61,24580552
IA;1000010322;Inari;Kielajoki;KM;15422;1;7689059;3484670;;Bronze artefacts;"Hevosenkenkäsolki; Rullapäinen";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;50;55;;;;;keskiharjallinen, kolmiomainen runko, huonolaatuista hopeaa?;KM 15422_1;26,60749819;69,28193794
IA;1000012417;Huittinen;Sampu (Sambu);HM;1223;60;6795488;3268903;;Bronze artefacts;"Hevosenkenkäsolki; Nuppipäinen";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;1;TRUE;37;46;;;;;Sammun koskesta kesällä 1926. Vesilöytö. Muitakin esineitä löytnyt aiemmin, mutta niiden olinpaikka ei tiedossa löytäillä.;HM 1223_60;22,69660188;61,19963619
IA;1000014805;Tampere;Messukylän kirkko;HM;2263;;6823732;3331966;;Bronze artefacts;Hevosenkenkäsolki;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;46;41;9;;;;Messukylän kirkon seinän juurelta ja alta Viinikank 71 pihamaalle levitetyltä hiesumaasta. Nupeissa ristimäinen kuvio, jossa ympyröitä;HM 2263;23,84219581;61,48487758
IA;1000016836;Ylöjärvi;Laitamo;KM;14330;;6860780;3329327;95;Bronze artefacts;"Hevosenkenkäsolki; Nuppipäinen";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;1;TRUE;57;;;;;;Laitamonsaaresta Laitamon talon pellosta 1956, Kuru;KM 14330;23,75813577;61,81564349
IA;1000023834;Hattula;Parola-Rinteelä;HM;1427;26;6781645;3356462;;Bronze artefacts;"Solki; Soikea kupurasolki; Ailio H";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1;TRUE;82;50;;;;;Ville Valverinne (Vallin) Tyrvännön pitäjästä Lepaan tilan maalta 12.6.1934 salaojaa kaivaessaan kivikosta n 65 cm syvyydestä. Kivikoski II sanoo että yksi solki Treen museossa. Treella mietitty olisiko kuitenkin kopio.;HM 1427_26;24,33366829;61,11747609
IA;109010007;Hämeenlinna;Hämeen linna 2;KM;16560;1;6768708;3362791;86;Bronze artefacts;"Koruneula; Rengasneula";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;TRUE;146;;;;;;;KM 16560_1;24,46026362;61,00375415
IA;109010019;Hämeenlinna;Riihimäki;KM;15196;7;6771047;3360848;89;Bronze artefacts;"Ketjunkantaja; Kaksoisspiraali";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;TRUE;47;37;;;;;hampaita, simpukan kuori;KM 15196_7;24,42268487;61,02404309
IA;109010023;Hämeenlinna;Varikonniemi;KM;23703;1042;6768743;3363266;80;Bronze artefacts;"Ketjunkantaja; Kaksoisspiraali";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;;;;;;;Ei nähty, puuttuu, luettelossa ja laatikossa tämä tieto myös. Konteksti sekoittunut, seuraavalla nrolla raha 1666;KM 23703_1042;24,46900989;61,0042329
